product_id,title,rating,sales,query
p001,Beras Merah Organik 1kg,4.6,420,beli beras merah organik
p002,Beras Putih Premium 5kg,4.7,1350,cari beras putih kualitas premium
p003,Padi IR64 Kualitas Unggul,4.2,390,padi unggul ir64 buat tani
p004,Beras Premium Cap Gunung 5kg,4.8,1600,beli beras premium cap gunung
p005,Beras Coklat Organik 2kg,4.4,570,beras coklat sehat untuk diet
p006,Padi Lokal IR42,4.1,280,padi lokal ir42 panen bagus
p007,Beras Hitam Ketan 1kg,4.5,460,beras hitam ketan untuk kue
p008,Padi Hibrida Inpari 32,4.0,240,padi inpari 32 untuk hasil besar
p009,Beras Putih Cap Ayam 10kg,4.3,1120,beli beras cap ayam 10 kilo
p010,Beras Pandan Wangi 5kg,4.9,1750,beras pandan wangi aromatik
p011,Padi IR42 Grade B,4.0,300,cari benih padi ir42 grade b
p012,Beras Rendah Gula Cap Sehat,4.6,680,beras sehat rendah gula
p013,Beras Organik Cap Daun 2kg,4.7,700,beras organik cap daun 2 kilo
p014,Padi Gogo Tahan Kering,3.9,220,padi gogo cocok untuk lahan kering
p015,Beras Super IR64 Cap Kupu,4.5,900,beras super ir64 cap kupu
p016,Beras Putih Medium 5kg,4.2,1040,beras putih medium isi 5kg
p017,Padi Inpari 30 Non-GMO,4.1,310,cari padi non gmo inpari 30
p018,Beras Merah Cap Daun 1kg,4.3,510,beras merah sehat 1 kilo
p019,Beras Diet Sehat Kalori Rendah,4.6,580,beras untuk diet kalori rendah
p020,Padi Organik Subur Makmur,4.4,260,benih padi organik subur makmur
p021,Beras Hitam Superfood 2kg,4.8,640,beras hitam superfood untuk sehat
p022,Beras Pandan Wangi Cap Gajah 5kg,4.9,1850,beras pandan wangi cap gajah
p023,Padi Coklat Lokal,4.1,200,padi coklat hasil petani lokal
p024,Beras Cap Jempol Medium 5kg,4.3,890,beras jempol kualitas medium
p025,Beras IR64 Lokal 10kg,4.2,940,beras ir64 lokal 10 kilo
p026,Padi Petani Mandiri IR64,3.8,210,benih padi ir64 petani mandiri
p027,Beras Organik Cap Daun 5kg,4.7,830,beras organik cap daun besar
p028,Beras Ketan Hitam Cap Bulan 2kg,4.5,520,beli beras ketan hitam cap bulan
p029,Padi Inpari 32 Anti Hama,4.0,330,benih inpari 32 tahan hama
p030,Beras Wangi Thailand Import 5kg,4.9,1680,beras wangi thailand import asli
p031,Beras Organik Kualitas Premium 3kg,4.7,740,beras organik kualitas premium
p032,Padi IR64 Super,4.3,410,padi ir64 super hasil panen tinggi
p033,Beras Putih Cap Ayam 2kg,4.5,920,beras putih cap ayam 2 kilo
p034,Beras Merah Organik Cap Gajah,4.6,560,beras merah organik cap gajah
p035,Padi Hibrida IR64 1kg,4.0,250,padi hibrida ir64 untuk panen besar
p036,Beras Hitam Organik 1.5kg,4.8,480,beras hitam organik untuk kesehatan
p037,Beras Coklat Premium 4kg,4.4,600,beras coklat premium 4 kilo
p038,Padi Lokal IR42 Unggul,4.2,370,padi lokal ir42 unggul hasil panen
p039,Beras Putih Medium Cap Jempol,4.3,1020,beras putih medium cap jempol
p040,Beras Pandan Wangi Super,4.9,1700,beras pandan wangi super aroma harum
p041,Padi IR42 Grade A,4.1,300,padi ir42 grade a untuk petani
p042,Beras Organik Cap Daun 1kg,4.6,690,beras organik cap daun 1 kilo
p043,Beras Diet Rendah Kalori,4.7,580,beras diet rendah kalori sehat
p044,Padi Gogo Tahan Kekeringan,3.9,230,padi gogo tahan kekeringan
p045,Beras Super IR64 Cap Kupu-Kupu,4.5,940,beras super ir64 cap kupu-kupu
p046,Beras Putih Premium 10kg,4.2,1080,beras putih premium 10 kilo
p047,Padi Inpari 30 Non GMO,4.0,320,padi inpari 30 non gmo benih unggul
p048,Beras Merah Organik Cap Daun,4.3,500,beras merah organik cap daun
p049,Beras Diet Sehat 1kg,4.6,600,beras diet sehat 1 kilo
p050,Padi Organik Subur Makmur,4.4,270,padi organik subur makmur
p051,Beras Hitam Superfood 3kg,4.8,650,beras hitam superfood sehat
p052,Beras Pandan Wangi Cap Gajah,4.9,1800,beras pandan wangi cap gajah
